log_name,experiment,scenario,simulation_id,prefix_entropy,n_prefixes,normalized_prefix_entropy,trace_entropy,n_traces,normalized_trace_entropy
bpi12a,exp1,A,0,0.841072160591656,13371,0.0613615832233162,0.937979543033269,2618,0.0826104405038681
bpi12a,exp1,A,1,0.842550044391694,13638,0.0613417483820828,0.942454703224643,2618,0.0830045801815196
bpi12a,exp1,A,2,0.841771554064568,13501,0.061350130017269,0.940366988553719,2618,0.0828207094032148
bpi12a,exp1,A,3,0.84116147956268,13358,0.0613743833154353,0.938267496993688,2618,0.0826358014018661
bpi12a,exp1,A,4,0.842072080700648,13513,0.0613663004947218,0.940766790917755,2618,0.0828559210980251
bpi12a,exp1,A,5,0.841961956548222,13541,0.0613449248728476,0.941194920441281,2618,0.082893627643753
bpi12a,exp1,A,6,0.841990741960871,13553,0.0613413106408852,0.940618811890153,2618,0.082842888177695
bpi12a,exp1,A,7,0.840500422324818,13290,0.0613591137818617,0.937752946428844,2618,0.0825904835171223
bpi12a,exp1,A,8,0.84177893876621,13486,0.0613578401023608,0.941196649923703,2618,0.0828937799640309
bpi12a,exp1,A,9,0.841240452137621,13417,0.0613516836812761,0.938947043663423,2618,0.0826956509477829
bpi12a,exp1,A,mean,0.841609983104899,,0.0613549018512056,0.939954589507048,,0.0827843882838878
bpi12a,exp1,A,std,0.000603586499024103,,1.09080642820411E-05,0.00160596490823851,,0.000141441750503756
bpi12a,exp1,A,ci95_norm_low,0.841235876316938,,0.0613481409629187,0.93895920214439,,0.0826967217786725
bpi12a,exp1,A,ci95_norm_high,0.84198408989286,,0.0613616627394926,0.940949976869706,,0.0828720547891031
bpi12a,exp1,A,ci95_t_low,0.841178203334461,,0.0613470986920905,0.938805751419164,,0.0826832069508699
bpi12a,exp1,A,ci95_t_high,0.842041762875337,,0.0613627050103208,0.941103427594931,,0.0828855696169057
bpi12a,exp1,B,0,0.718553243381161,9463,0.0544025429489624,0.767518302232016,2618,0.0675974497664699
bpi12a,exp1,B,1,0.71281061402252,9412,0.0539996357154886,0.762810029039847,2618,0.0671827791851054
bpi12a,exp1,B,2,0.714369302378083,9441,0.0540995256186049,0.763957382631897,2618,0.0672838297744887
bpi12a,exp1,B,3,0.714993017019714,9387,0.0541807153686758,0.762634926964297,2618,0.067167357463276
bpi12a,exp1,B,4,0.72244286630005,9514,0.0546649375306996,0.773743250951072,2618,0.0681456981367193
bpi12a,exp1,B,5,0.727065585451392,9559,0.054986399562096,0.779547483749962,2618,0.0686568928976974
bpi12a,exp1,B,6,0.711855862819553,9361,0.0539593500765757,0.759323221844978,2618,0.0668756864766774
bpi12a,exp1,B,7,0.718333188363443,9428,0.0544079034838152,0.766138529366448,2618,0.0674759293718447
bpi12a,exp1,B,8,0.720681011316759,9488,0.0545479189083261,0.77187370631695,2618,0.0679810421941525
