log_name,experiment,scenario,simulation_id,prefix_entropy,n_prefixes,normalized_prefix_entropy,trace_entropy,n_traces,normalized_trace_entropy
bpi17,exp1,A,0,0.635184186169261,76765,0.0391408603677193,0.592908073669821,5771,0.0474531243248024
bpi17,exp1,A,1,0.63194175306515,77888,0.0388908450238934,0.588928321720703,5771,0.0471346067123596
bpi17,exp1,A,2,0.634591611962211,77029,0.0390924137538443,0.591909500836646,5771,0.0473732040084763
bpi17,exp1,A,3,0.633249451166678,76010,0.0390559574275013,0.591497190315528,5771,0.0473402049260082
bpi17,exp1,A,4,0.633646005746879,76264,0.0390688178511106,0.591117035686888,5771,0.0473097794255695
bpi17,exp1,A,5,0.63768527013239,76919,0.0392879805298309,0.593561253583303,5771,0.0475054012780391
bpi17,exp1,A,6,0.635229558555002,77187,0.0391245879180844,0.593638441665403,5771,0.0475115789906036
bpi17,exp1,A,7,0.638371896422311,77150,0.0393198036616895,0.593572125408896,5771,0.0475062713995882
bpi17,exp1,A,8,0.631612803069312,76432,0.038935835202811,0.590525568901657,5771,0.0472624416541004
bpi17,exp1,A,9,0.633392932630465,77730,0.0389871822634394,0.590677262064549,5771,0.0472745823464567
bpi17,exp1,A,mean,0.634490546891966,,0.0390904283999924,0.591833477385339,,0.0473671195066004
bpi17,exp1,A,std,0.00222472728630094,,0.000138002279154998,0.00158255440272394,,0.000126659012009075
bpi17,exp1,A,ci95_norm_low,0.633111646634068,,0.0390048937012053,0.590852600004327,,0.0472886154376299
bpi17,exp1,A,ci95_norm_high,0.635869447149863,,0.0391759630987796,0.592814354766351,,0.0474456235755709
bpi17,exp1,A,ci95_t_low,0.63289907286377,,0.0389917075165568,0.590701386164249,,0.0472765131076541
bpi17,exp1,A,ci95_t_high,0.636082020920162,,0.0391891492834281,0.59296556860643,,0.0474577259055468
bpi17,exp1,B,0,0.636570696921377,68145,0.0396461137770343,0.59344107457787,5771,0.0474957828067461
bpi17,exp1,B,1,0.638734205079497,68311,0.0397721640571157,0.595178803555371,5771,0.0476348611443065
bpi17,exp1,B,2,0.639708546124027,68299,0.0398334621576091,0.593624539901082,5771,0.0475104663693054
bpi17,exp1,B,3,0.640404642879845,68026,0.0398911595488132,0.595317786089195,5771,0.0476459845473253
bpi17,exp1,B,4,0.638912824215486,68381,0.0397796261785651,0.595329980634173,5771,0.0476469605321105
bpi17,exp1,B,5,0.64288315577079,67955,0.0400493058784445,0.597410585667872,5771,0.0478134807967509
bpi17,exp1,B,6,0.636886769856268,67616,0.0396935937293903,0.592872942431903,5771,0.0474503126123724
bpi17,exp1,B,7,0.639474420155187,67030,0.0398860845045699,0.595767007701706,5771,0.0476819377919757
bpi17,exp1,B,8,0.639268021036774,67612,0.0398422157435982,0.596135295210924,5771,0.0477114135129826
bpi17,exp1,B,9,0.63674172496976,67877,0.0396708116371772,0.594468228505354,5771,0.0475779905977783
bpi17,exp1,B,mean,0.638958500700901,,0.0398064537212317,0.594954624427545,,0.0476169190711654
bpi17,exp1,B,std,0.00192581738978237,,0.000121674536532931,0.0013759307787676,,0.000110121985526446
bpi17,exp1,B,ci95_norm_low,0.637764866716284,,0.0397310390621686,0.594101813695472,,0.0475486647573995
bpi17,exp1,B,ci95_norm_high,0.640152134685519,,0.0398818683802949,0.595807435159617,,0.0476851733849312
bpi17,exp1,B,ci95_t_low,0.637580853931448,,0.03971941300124,0.593970342842792,,0.0475381425483179
bpi17,exp1,B,ci95_t_high,0.640336147470354,,0.0398934944412235,0.595938906012298,,0.0476956955940129
bpi17,exp1,C,0,0.632640849710514,67572,0.0394312771570117,0.595893307794709,5771,0.0476920461616905
bpi17,exp1,C,1,0.632546997717402,67403,0.0394343071965616,0.595534478782528,5771,0.0476633274471333
bpi17,exp1,C,2,0.635621266217049,67436,0.0396242191499366,0.596763646903948,5771,0.0477617033510416
bpi17,exp1,C,3,0.635736793733457,67940,0.0396048990400727,0.597226029135399,5771,0.0477987098997614
bpi17,exp1,C,4,0.633734596548538,67887,0.0394829362235867,0.59512256138927,5771,0.0476303598284722
bpi17,exp1,C,5,0.632628509255341,66994,0.0394609905504861,0.595853642584524,5771,0.0476888715748804
bpi17,exp1,C,6,0.632265974028647,68381,0.0393657837799217,0.595155803017885,5771,0.0476330203068929
bpi17,exp1,C,7,0.634923786906371,68134,0.0395441165449849,0.596225252453246,5771,0.0477186131993984
bpi17,exp1,C,8,0.632031796844252,67740,0.0393845220638502,0.596292145027491,5771,0.0477239669157383
bpi17,exp1,C,9,0.63160867697561,67576,0.039366734291876,0.594796010565381,5771,0.0476042244838336
