log_name,experiment,scenario,simulation_id,prefix_entropy,n_prefixes,normalized_prefix_entropy,trace_entropy,n_traces,normalized_trace_entropy
bpi12o,exp1,A,0,0.682838051905025,5565,0.0548809631240338,0.783238554029842,1003,0.0785586996390216
bpi12o,exp1,A,1,0.684865175135838,5493,0.055127127529568,0.784517183463244,1003,0.0786869459633265
bpi12o,exp1,A,2,0.684398580142715,5477,0.0551082375914238,0.783782628771223,1003,0.0786132702471325
bpi12o,exp1,A,3,0.68353542954541,5562,0.0549404477967483,0.781739323986013,1003,0.0784083271093536
bpi12o,exp1,A,4,0.686075382122607,5500,0.0552163751086552,0.78304916733537,1003,0.0785397041843544
bpi12o,exp1,A,5,0.685977517537942,5500,0.0552084988201926,0.785807322211707,1003,0.078816346670061
bpi12o,exp1,A,6,0.686680640195548,5577,0.0551760181988383,0.785188595897924,1003,0.0787542885213741
bpi12o,exp1,A,7,0.686035157786378,5553,0.0551517250191008,0.785688044063994,1003,0.0788043830912363
bpi12o,exp1,A,8,0.683880185156855,5457,0.0550899079085622,0.784058176005665,1003,0.0786409075899516
bpi12o,exp1,A,9,0.685931045375507,5637,0.0550475007780264,0.784588698153441,1003,0.0786941188751272
bpi12o,exp1,A,mean,0.685021716490383,,0.0550946801875149,0.784165769391842,,0.0786516991890939
bpi12o,exp1,A,std,0.0013048233103625,,0.000110846359129496,0.00126986829351286,,0.000127367583398345
bpi12o,exp1,A,ci95_norm_low,0.684212978623837,,0.0550259769023384,0.7833786968692,,0.0785727559430263
bpi12o,exp1,A,ci95_norm_high,0.685830454356929,,0.0551633834726914,0.784952841914485,,0.0787306424351615
bpi12o,exp1,A,ci95_t_low,0.68408830212422,,0.055015385479008,0.783257360338382,,0.0785605859087108
bpi12o,exp1,A,ci95_t_high,0.685955130856545,,0.0551739748960219,0.785074178445302,,0.0787428124694769
bpi12o,exp1,B,0,0.684954638953427,5446,0.0551894023700012,0.784449129714435,1003,0.0786801201833843
bpi12o,exp1,B,1,0.6854802205333,5450,0.0552270369831339,0.783864857270686,1003,0.0786215177522609
bpi12o,exp1,B,2,0.683592451541007,5348,0.0551961556483257,0.783594266642087,1003,0.078594377556202
bpi12o,exp1,B,3,0.683401390548598,5452,0.0550572040264889,0.78335571724098,1003,0.0785704510900516
bpi12o,exp1,B,4,0.685384100083159,5424,0.0552500027605389,0.785606249602669,1003,0.0787961791200626
bpi12o,exp1,B,5,0.683654110906411,5268,0.0552982220677574,0.788777731870684,1003,0.0791142782759604
bpi12o,exp1,B,6,0.684742588749316,5347,0.0552902270435154,0.786625966332616,1003,0.0788984565423022
bpi12o,exp1,B,7,0.684065239267522,5460,0.0551012954637382,0.784391045813377,1003,0.0786742943775509
bpi12o,exp1,B,8,0.685191706443923,5398,0.0552653767970728,0.785968480768321,1003,0.07883251084709
bpi12o,exp1,B,9,0.68441525897091,5321,0.0552951946294807,0.78585718489064,1003,0.0788213478886519
bpi12o,exp1,B,mean,0.684488170599757,,0.0552170117790053,0.78524906301465,,0.0787603533633517
bpi12o,exp1,B,std,0.000776558133688222,,8.28132233494976E-05,0.00166591798580975,,0.000167091303150388
bpi12o,exp1,B,ci95_norm_low,0.684006854881912,,0.055165683611397,0.784216516349531,,0.0786567891007001
bpi12o,exp1,B,ci95_norm_high,0.684969486317602,,0.0552683399466136,0.786281609679769,,0.0788639176260032
bpi12o,exp1,B,ci95_t_low,0.683932654375922,,0.0551577707677751,0.78405733707869,,0.0786408234457125
bpi12o,exp1,B,ci95_t_high,0.685043686823593,,0.0552762527902355,0.786440788950609,,0.0788798832809909
bpi12o,exp1,C,0,0.683679631266396,5343,0.05520921051487,0.784234302002139,1003,0.0786585729987654
bpi12o,exp1,C,1,0.683505230680204,5403,0.0551234123929397,0.785147818312669,1003,0.0787501985362023
bpi12o,exp1,C,2,0.683841449855894,5374,0.0551850836936265,0.784771112003893,1003,0.0787124149546727
bpi12o,exp1,C,3,0.684189810706103,5429,0.0551478195105771,0.784120868399232,1003,0.0786471956268345
bpi12o,exp1,C,4,0.683258478714737,5372,0.0551404283019432,0.784499891767076,1003,0.0786852116090119
bpi12o,exp1,C,5,0.685020251132678,5378,0.0552754231534308,0.787081377493482,1003,0.0789441342077013
bpi12o,exp1,C,6,0.684388286641643,5269,0.055356380683366,0.787931706675259,1003,0.0790294220863966
bpi12o,exp1,C,7,0.684987341533926,5392,0.0552560441850774,0.784658463336579,1003,0.0787011163116543
bpi12o,exp1,C,8,0.686952423569257,5511,0.0552741377486378,0.785736400101933,1003,0.0788092331939804
bpi12o,exp1,C,9,0.684469478067623,5281,0.0553482550763013,0.785828743345227,1003,0.0788184952062706
bpi12o,exp1,C,mean,0.684429238216846,,0.055231619526077,0.785401068343749,,0.078775599473149
bpi12o,exp1,C,std,0.00106561068504933,,8.38034287513309E-05,0.00126261369476012,,0.000126639948322816
bpi12o,exp1,C,ci95_norm_low,0.683768765871548,,0.0551796776228022,0.784618492267998,,0.0786971072199737
bpi12o,exp1,C,ci95_norm_high,0.685089710562145,,0.0552835614293518,0.7861836444195,,0.0788540917263244
bpi12o,exp1,C,ci95_t_low,0.683666946254201,,0.0551716701645742,0.784497848917607,,0.0786850067115423
bpi12o,exp1,C,ci95_t_high,0.685191530179491,,0.0552915688875798,0.786304287769891,,0.0788661922347558
bpi12o,exp1,D,0,0.680645365677375,6499,0.0537379801395187,0.777502063730239,1003,0.0779833305945459
bpi12o,exp1,D,1,0.68025774211499,6436,0.0537670332883286,0.774735073613487,1003,0.077705801935662
bpi12o,exp1,D,2,0.67926657615883,6356,0.0537653767129645,0.776860917285331,1003,0.077919023710352
bpi12o,exp1,D,3,0.681320832180726,6482,0.0538073619262888,0.77756809583251,1003,0.0779899536036689
bpi12o,exp1,D,4,0.682070296116877,6269,0.0540723985664572,0.778661155238054,1003,0.0780995872843476
bpi12o,exp1,D,5,0.681307212942129,6379,0.053904663142063,0.778126859009567,1003,0.0780459974594902
bpi12o,exp1,D,6,0.68112512498446,6429,0.0538422718098387,0.778225011789693,1003,0.0780558421673803
bpi12o,exp1,D,7,0.679437230701788,6329,0.0538050399305333,0.77578855226304,1003,0.0778114656729494
bpi12o,exp1,D,8,0.680624136593484,6496,0.0537391302563059,0.776247707219952,1003,0.0778575188404834
bpi12o,exp1,D,9,0.680720591981857,6469,0.0537722575711099,0.776688265137409,1003,0.0779017067279833
