log_name,experiment,scenario,simulation_id,prefix_entropy,n_prefixes,normalized_prefix_entropy,trace_entropy,n_traces,normalized_trace_entropy
hospital,exp1,A,0,1.2687373403492326,77870.0,0.07808200615030855,1.3093553378040268,7589.0,0.10158156816913343
hospital,exp1,A,1,1.270635334203413,78122.0,0.0781763882239805,1.309481890072876,7589.0,0.1015913862662946
hospital,exp1,A,2,1.2675676148463324,77391.0,0.07805277851991319,1.3077528510459304,7589.0,0.10145724506664337
hospital,exp1,A,3,1.2675129421341371,78715.0,0.07793197189603349,1.3112437253635274,7589.0,0.10172807184469553
hospital,exp1,A,4,1.2669476615354147,78572.0,0.07790978226712296,1.3101486831401952,7589.0,0.10164311697946844
hospital,exp1,A,5,1.2712300659432862,79514.0,0.07809055921493271,1.313678889207982,7589.0,0.1019169951682017
hospital,exp1,A,6,1.269403463713091,78357.0,0.07807978025376003,1.311175019077326,7589.0,0.10172274151755369
hospital,exp1,A,7,1.2673630475011874,78553.0,0.07793699825163077,1.3104967212665881,7589.0,0.10167011825073598
hospital,exp1,A,8,1.2680563015885271,78067.0,0.07802258956628752,1.309599365787036,7589.0,0.10160050019199651
hospital,exp1,A,9,1.2653358914740915,78097.0,0.07785254948020025,1.3095949562274425,7589.0,0.10160015809236511
hospital,exp1,A,mean,1.2682789663288712,,0.07801354038241701,1.310252743899293,,0.10165119015470885
hospital,exp1,A,std,0.001768597138414614,,0.00010129388157321541,0.001568795228429592,,0.00012170926778929455
hospital,exp1,A,ci95_norm_low,1.2671827784656244,,0.0779507577841701,1.3092803945428617,,0.10157575396899
hospital,exp1,A,ci95_norm_high,1.2693751541921179,,0.07807632298066391,1.3112250932557243,,0.10172662634042769
hospital,exp1,A,ci95_t_low,1.267013788151995,,0.07794107910469925,1.3091304953985543,,0.10156412458947299
hospital,exp1,A,ci95_t_high,1.2695441445057474,,0.07808600166013477,1.3113749924000317,,0.1017382557199447
hospital,exp1,B,0,1.2494112750261548,74644.0,0.07718257008216202,1.2961933489064403,7589.0,0.10056044316674567
hospital,exp1,B,1,1.2456996504724305,74704.0,0.07694777372901859,1.2943979541253763,7589.0,0.10042115399742893
hospital,exp1,B,2,1.248881094622603,74809.0,0.077134638963598,1.2957134112895503,7589.0,0.1005232089535879
hospital,exp1,B,3,1.2423304556245216,74628.0,0.07674661768277334,1.2924097792269253,7589.0,0.10026690868437443
hospital,exp1,B,4,1.2462453885312281,74525.0,0.07699794575203288,1.2943990759842083,7589.0,0.10042124103276313
hospital,exp1,B,5,1.2549219488392318,75298.0,0.0774627689311808,1.2998994447086694,7589.0,0.10084796712033252
hospital,exp1,B,6,1.245436772774305,74427.0,0.07695701255318187,1.2942613181596465,7589.0,0.10041055359334732
hospital,exp1,B,7,1.248672438261334,74750.0,0.07712717397464865,1.2970054186474624,7589.0,0.10062344464187928
hospital,exp1,B,8,1.2469556458193434,73748.0,0.0771138685442029,1.2912213238479557,7589.0,0.10017470669946693
hospital,exp1,B,9,1.248870339428564,74261.0,0.07718454032725186,1.2943278009076913,7589.0,0.10041571141537438
hospital,exp1,B,mean,1.2477425009399714,,0.07708549105400508,1.2949828875803928,,0.10046653393053004
hospital,exp1,B,std,0.003323365415918154,,0.0001898842004099896,0.0024190236745105114,,0.0001876711471670893
hospital,exp1,B,ci95_norm_low,1.24568265771455,,0.07696779960726989,1.2934835611734294,,0.10035021414840568
hospital,exp1,B,ci95_norm_high,1.249802344165393,,0.07720318250074028,1.2964822139873562,,0.1005828537126544
hospital,exp1,B,ci95_t_low,1.2453651085385715,,0.07694965607990373,1.2932524222890824,,0.10033228207934931
hospital,exp1,B,ci95_t_high,1.2501198933413713,,0.07722132602810644,1.2967133528717032,,0.10060078578171076
hospital,exp1,C,0,1.2625608999691436,78097.0,0.07768181207766406,1.3081657700791247,7589.0,0.10148927988691539
hospital,exp1,C,1,1.2616212790686052,77519.0,0.07767521867907311,1.3079992301964167,7589.0,0.10147635949627755
hospital,exp1,C,2,1.2619036566975657,77608.0,0.07768468639601411,1.3078056561029647,7589.0,0.10146134175479665
hospital,exp1,C,3,1.261833801066015,77274.0,0.07771015315939807,1.3045847144687934,7589.0,0.101211456721503
hospital,exp1,C,4,1.2641411927699457,77703.0,0.07781397788570145,1.3080387789022547,7589.0,0.10147942773867294
hospital,exp1,C,5,1.2605535450474752,77913.0,0.07757454782089439,1.3082091391236133,7589.0,0.10149264451637995
hospital,exp1,C,6,1.262273442940001,77453.0,0.07772125111101771,1.3082271904311433,7589.0,0.10149404496137258
hospital,exp1,C,7,1.2690385811901448,76990.0,0.07817943588405861,1.3082905622850571,7589.0,0.10149896143600134
hospital,exp1,C,8,1.265783434587076,76992.0,0.07797872173631971,1.3077040392716908,7589.0,0.10145345818280121
hospital,exp1,C,9,1.2635710599517338,77727.0,0.07777675045590805,1.30826594072453,7589.0,0.10149705126184395
hospital,exp1,C,mean,1.2633280893287706,,0.07777965552060492,1.3077291021585589,,0.10145540259565647
hospital,exp1,C,std,0.0024929382719766284,,0.00017652463188625356,0.0011222581822276046,,8.706631633893764e-05
hospital,exp1,C,ci95_norm_low,1.2617829501796631,,0.07767024442022778,1.3070335193307534,,0.10140143833370256
hospital,exp1,C,ci95_norm_high,1.264873228477878,,0.07788906662098206,1.3084246849863643,,0.10150936685761038
hospital,exp1,C,ci95_t_low,1.2615447487197096,,0.07765337740610805,1.3069262870176004,,0.10139311910498444
hospital,exp1,C,ci95_t_high,1.2651114299378317,,0.0779059336351018,1.3085319172995173,,0.1015176860863285
hospital,exp1,D,0,1.2664959951638415,77955.0,0.0779365175611821,1.3092489439260007,7589.0,0.10157331398735293
hospital,exp1,D,1,1.2682150291543979,78303.0,0.07801145319945768,1.3114101471652106,7589.0,0.10174098307444686
hospital,exp1,D,2,1.2664454418755486,77986.0,0.07793065590542356,1.3084998269417236,7589.0,0.10151519647271964
hospital,exp1,D,3,1.2637892036880858,77230.0,0.07783451562625347,1.308274128053655,7589.0,0.10149768644597436
hospital,exp1,D,4,1.2685695494841895,78468.0,0.07801868645948958,1.3128040748551282,7589.0,0.10184912588073326
