log_name,experiment,scenario,simulation_id,prefix_entropy,n_prefixes,normalized_prefix_entropy,trace_entropy,n_traces,normalized_trace_entropy
purchasing,exp2,A,0,1.16528240413754,2022,0.106112577032411,1.27312244917371,122,0.1836922086592
purchasing,exp2,A,1,1.18981618379746,1861,0.109540716549993,1.27954998293428,122,0.184619604035409
purchasing,exp2,A,2,1.18817521470596,1925,0.108900570210021,1.27961267406213,122,0.184628649411794
purchasing,exp2,A,3,1.19280994044866,1953,0.109117004412545,1.28028618006109,122,0.184725826085236
purchasing,exp2,A,4,1.18466945746919,2037,0.107773347984252,1.27873720669356,122,0.184502332784005
purchasing,exp2,A,5,1.18692222477039,1979,0.108389221143596,1.28032199259727,122,0.184730993289594
purchasing,exp2,A,6,1.17690911986833,2009,0.107262215949048,1.27645404452344,122,0.184172907203593
purchasing,exp2,A,7,1.20434728657257,1912,0.110481790832527,1.28493831430893,122,0.185397058310792
purchasing,exp2,A,8,1.18805527235388,1991,0.108406349938099,1.27934617238199,122,0.184590197272121
purchasing,exp2,A,9,1.19480241128514,1945,0.109358515200348,1.27918037945485,122,0.184566275873998
purchasing,exp2,A,mean,1.18717895154091,,0.108534230925284,1.27915493961913,,0.184562605292574
purchasing,exp2,A,std,0.0104593609038282,,0.00124980135267887,0.00298797987645709,,0.000431120057062758
purchasing,exp2,A,ci95_norm_low,1.18069617248905,,0.107759596021428,1.2773029705047,,0.184295394312815
purchasing,exp2,A,ci95_norm_high,1.19366173059277,,0.10930886582914,1.28100690873355,,0.184829816272333
purchasing,exp2,A,ci95_t_low,1.17969677548613,,0.107640176896532,1.27701746757955,,0.184254200582444
purchasing,exp2,A,ci95_t_high,1.19466112759569,,0.109428284954036,1.2812924116587,,0.184871010002704
purchasing,exp2,B,0,1.19580424566874,2066,0.108584855630789,1.2825193571589,122,0.185048039579852
purchasing,exp2,B,1,1.18527552519379,1920,0.108672175154211,1.2764958470813,122,0.184178938676986
purchasing,exp2,B,2,1.1763100739142,2046,0.106950984440053,1.27911457800511,122,0.184556781725464
purchasing,exp2,B,3,1.16768558223278,2043,0.106187277533035,1.27304344887905,122,0.183680810118062
purchasing,exp2,B,4,1.17555821848721,2069,0.106726130071871,1.27275003196881,122,0.183638474519993
purchasing,exp2,B,5,1.17875522319114,1837,0.108709808016261,1.27345889760673,122,0.183740753051612
purchasing,exp2,B,6,1.19720322524741,1938,0.109630452522764,1.28148835281431,122,0.184899281331722
purchasing,exp2,B,7,1.186484416888,2002,0.108184548115079,1.27784397534962,122,0.184373453084712
purchasing,exp2,B,8,1.18855394749492,1870,0.109354434806993,1.27884359853381,122,0.184517683508621
purchasing,exp2,B,9,1.1526799637603,1805,0.106554175729419,1.25900533455689,122,0.181655323703207
purchasing,exp2,B,mean,1.18043104220785,,0.107955484202047,1.27545634219545,,0.184028953930023
purchasing,exp2,B,std,0.0134157441684062,,0.00124295178634857,0.00671383725446935,,0.000968704616474501
purchasing,exp2,B,ci95_norm_low,1.17211587782451,,0.107185094703387,1.27129506275294,,0.183428544588299
purchasing,exp2,B,ci95_norm_high,1.18874620659119,,0.108725873700708,1.27961762163796,,0.184629363271747
purchasing,exp2,B,ci95_t_low,1.17083399696801,,0.107066330057872,1.27065355234979,,0.183335984392765
purchasing,exp2,B,ci95_t_high,1.19002808744769,,0.108844638346222,1.28025913204112,,0.184721923467281
purchasing,exp2,C,0,1.17825634911588,1765,0.109244962378203,1.2669291945779,122,0.182798616203713
purchasing,exp2,C,1,1.17939851206115,2050,0.107204322503211,1.27627958150406,122,0.184147734843007
purchasing,exp2,C,2,1.17193380592256,1975,0.107049020036448,1.2736646876741,122,0.183770445428821
purchasing,exp2,C,3,1.13311778790417,1932,0.103804535445959,1.25123005225612,122,0.180533468708266
purchasing,exp2,C,4,1.1874910369959,1932,0.108785650315838,1.27747731182506,122,0.184320549114082
purchasing,exp2,C,5,1.1786210617552,2052,0.107119956127897,1.2799712557971,122,0.184680387303089
purchasing,exp2,C,6,1.17906984002076,2087,0.106923629610911,1.27722383958034,122,0.184283976923798
purchasing,exp2,C,7,1.18933510859427,1714,0.110706352816182,1.27581074006905,122,0.184080088153748
purchasing,exp2,C,8,1.19458114252936,2047,0.108605242472048,1.28028458800502,122,0.184725596375756
purchasing,exp2,C,9,1.18675798806252,1952,0.108570716815625,1.27622279984834,122,0.184139542113583
purchasing,exp2,C,mean,1.17785626329618,,0.107801438852232,1.27350940511371,,0.183748040516786
purchasing,exp2,C,std,0.0170774640636653,,0.00185177791363019,0.00867451761361637,,0.00125160097564261
purchasing,exp2,C,ci95_norm_low,1.16727154140841,,0.10665369501037,1.2681328833943,,0.182972290195061
purchasing,exp2,C,ci95_norm_high,1.18844098518394,,0.108949182694094,1.27888592683312,,0.184523790838511
purchasing,exp2,C,ci95_t_low,1.16563978144147,,0.10647675673336,1.26730402903269,,0.182852699115319
purchasing,exp2,C,ci95_t_high,1.19007274515089,,0.109126120971104,1.27971478119473,,0.184643381918254
purchasing,exp2,D,0,1.19317593557352,2020,0.108666736623585,1.28322400876561,122,0.185149710090851
purchasing,exp2,D,1,1.19573571436547,1871,0.110007396008549,1.28043426009688,122,0.184747191782503
purchasing,exp2,D,2,1.16846437036735,1959,0.106846641851398,1.26667077880775,122,0.182761330737887
purchasing,exp2,D,3,1.19285364534204,1860,0.109828201879461,1.27842480249356,122,0.184457257608771
purchasing,exp2,D,4,1.17266408691902,2010,0.106868335655561,1.27680036142386,122,0.184222875465777
purchasing,exp2,D,5,1.1850474192245,2070,0.107580823199916,1.27981113100662,122,0.18465728373089
purchasing,exp2,D,6,1.19663493323643,2001,0.109117251478545,1.28332460510262,122,0.185164224612483
purchasing,exp2,D,7,1.17768106176263,1892,0.108186102328459,1.27424624932855,122,0.183854355931576
purchasing,exp2,D,8,1.18222786855725,2080,0.107257160041407,1.2775253311633,122,0.184327477574345
purchasing,exp2,D,9,1.18299343643084,1941,0.108307099566741,1.2775129238205,122,0.184325687383461
purchasing,exp2,D,mean,1.18474784717791,,0.108266574863362,1.27779744520093,,0.184366739491854
purchasing,exp2,D,std,0.00982852428193426,,0.00114607987324716,0.00481849747057435,,0.000695235908661446
purchasing,exp2,D,ci95_norm_low,1.17865606471515,,0.107556227198494,1.2748109095272,,0.183935827811283
purchasing,exp2,D,ci95_norm_high,1.19083962964067,,0.10897692252823,1.28078398087465,,0.184797651172426
purchasing,exp2,D,ci95_t_low,1.17771694445715,,0.107446718711221,1.27435049975886,,0.183869397683302
purchasing,exp2,D,ci95_t_high,1.19177874989866,,0.109086431015504,1.28124439064299,,0.184864081300406
purchasing,exp2,E,0,1.18485140014823,1930,0.108558694402077,1.27425484161847,122,0.183855595668345
purchasing,exp2,E,1,1.16977534931685,1948,0.107046039311541,1.26755257005619,122,0.182888559805372
purchasing,exp2,E,2,1.17340194581058,1992,0.107062202459774,1.27688503413387,122,0.184235092450189
purchasing,exp2,E,3,1.18035172757449,1945,0.108035865279909,1.27940081519912,122,0.184598081399664
purchasing,exp2,E,4,1.18978340797276,2045,0.108182927366838,1.28177541896851,122,0.184940700612272
purchasing,exp2,E,5,1.17417900099046,2074,0.106567223497017,1.27501398794526,122,0.183965128938735
purchasing,exp2,E,6,1.19361531750632,1890,0.109665253352177,1.27970272855989,122,0.184641642906335
purchasing,exp2,E,7,1.18314353138183,1949,0.10826202516715,1.27458000580031,122,0.183902511914916
purchasing,exp2,E,8,1.19092047190089,1911,0.109257635611462,1.27960714197367,122,0.184627851215558
purchasing,exp2,E,9,1.18539655410206,1999,0.108106682141233,1.28222402767235,122,0.185005428026108
purchasing,exp2,E,mean,1.18254187067045,,0.108074454858918,1.27709965719276,,0.184266059293749
purchasing,exp2,E,std,0.00803024695484676,,0.000975736813860235,0.00442800783506503,,0.000638894192550962
purchasing,exp2,E,ci95_norm_low,1.17756467204246,,0.107469686916098,1.27435514950261,,0.183870068570615
purchasing,exp2,E,ci95_norm_high,1.18751906929843,,0.108679222801738,1.27984416488292,,0.184662050016883
purchasing,exp2,E,ci95_t_low,1.17679737805451,,0.107376454790696,1.27393205120818,,0.183809021920912
purchasing,exp2,E,ci95_t_high,1.18828636328639,,0.10877245492714,1.28026726317735,,0.184723096666586
purchasing,exp3,A,0,1.15204245969408,2085,0.104485765278182,1.2528247212075,122,0.180763555187338
purchasing,exp3,A,1,1.13750696365832,1932,0.104206626345081,1.24091212975994,122,0.179044749399823
purchasing,exp3,A,2,1.14796290028412,2040,0.104413861795233,1.24904587037802,122,0.180218324478768
purchasing,exp3,A,3,1.13482976232329,2038,0.103232614212871,1.24841842192847,122,0.180127793209296
purchasing,exp3,A,4,1.16015150454717,2042,0.105508918898355,1.25688944089326,122,0.181350032424578
purchasing,exp3,A,5,1.14108475501615,2056,0.103681962792355,1.2504504561745,122,0.180420984849241
purchasing,exp3,A,6,1.16792176100639,1947,0.106883663244935,1.25557659237388,122,0.181160608348114
purchasing,exp3,A,7,1.15245800720201,1988,0.105179088670575,1.25234845256574,122,0.180694836865094
purchasing,exp3,A,8,1.15715032078731,1931,0.106013401687907,1.25351898562622,122,0.180863726985072
purchasing,exp3,A,9,1.15215241352536,1989,0.105144236586042,1.24935840957501,122,0.180263419132016
purchasing,exp3,A,mean,1.15032608480442,,0.104875013951154,1.25093434804825,,0.180490803087934
purchasing,exp3,A,std,0.0103225540448221,,0.00109692206594979,0.00450093745587255,,0.000649416827770774
purchasing,exp3,A,ci95_norm_low,1.14392809952226,,0.10419513461091,1.24814463811082,,0.180088290367921
purchasing,exp3,A,ci95_norm_high,1.15672407008658,,0.105554893291397,1.25372405798569,,0.180893315807947
purchasing,exp3,A,ci95_t_low,1.14294177448102,,0.104090323175945,1.24771457135578,,0.180026238275323
purchasing,exp3,A,ci95_t_high,1.15771039512782,,0.105659704726362,1.25415412474073,,0.180955367900545
purchasing,exp3,B,0,1.1542941623269,2052,0.104908985626822,1.25473858307457,122,0.181039696350083
purchasing,exp3,B,1,1.15914872600779,2028,0.105512962288622,1.25549968241751,122,0.181149511411003
purchasing,exp3,B,2,1.15710960540205,1837,0.106713557303687,1.24802053277616,122,0.180070383855437
purchasing,exp3,B,3,1.1587263054046,1982,0.10579326939749,1.25038635568291,122,0.1804117361231
purchasing,exp3,B,4,1.15908416658148,1987,0.10579083356996,1.256024605982,122,0.181225249898688
purchasing,exp3,B,5,1.15464637655992,2048,0.104967852414539,1.25303638206414,122,0.180794094630162
purchasing,exp3,B,6,1.14484459337235,2043,0.104110158092531,1.24956614044496,122,0.180293391537524
purchasing,exp3,B,7,1.15050104446343,1999,0.104924255335954,1.24875664025995,122,0.18017659297114
purchasing,exp3,B,8,1.15790766174508,1927,0.106111869063442,1.25401730832301,122,0.180935627372075
purchasing,exp3,B,9,1.17370321303786,1907,0.107707957530452,1.2578726181873,122,0.181491889956635
purchasing,exp3,B,mean,1.15699658549015,,0.10565417006235,1.25279188492125,,0.180758817410585
purchasing,exp3,B,std,0.00741339186647847,,0.00103014983100926,0.00340242686975953,,0.000490918455576034
purchasing,exp3,B,ci95_norm_low,1.152401717607,,0.105015676582093,1.25068303889905,,0.180454542999438
purchasing,exp3,B,ci95_norm_high,1.16159145337329,,0.106292663542606,1.25490073094345,,0.181063091821731
purchasing,exp3,B,ci95_t_low,1.15169336442166,,0.104917245266535,1.25035793536285,,0.180407635503111
purchasing,exp3,B,ci95_t_high,1.16229980655863,,0.106391094858165,1.25522583447965,,0.181109999318058
purchasing,exp3,C,0,1.17043015348154,2008,0.106678713685649,1.25847788900204,122,0.181579221330665
purchasing,exp3,C,1,1.15048957812548,1931,0.105403171560789,1.2461840410693,122,0.17980540603022
purchasing,exp3,C,2,1.14303353611079,2051,0.103892194456191,1.25172645578491,122,0.180605092188513
purchasing,exp3,C,3,1.16055907024566,1954,0.106159556556158,1.25459038851216,122,0.181018314128367
purchasing,exp3,C,4,1.13992553231623,1817,0.105282114315127,1.24087799339181,122,0.179039824041023
purchasing,exp3,C,5,1.15920693875681,2023,0.105552478624128,1.25315034510856,122,0.180810537764402
purchasing,exp3,C,6,1.15385246994281,1868,0.106176762148059,1.24821688311521,122,0.180098714223403
purchasing,exp3,C,7,1.15201408907635,1976,0.105222455979823,1.2495774311866,122,0.18029502061984
purchasing,exp3,C,8,1.15257492083056,2129,0.104249191964252,1.25380504575251,122,0.180905001111093
purchasing,exp3,C,9,1.16149227708146,1928,0.106433066559687,1.25397330842855,122,0.180929278856425
purchasing,exp3,C,mean,1.15435785659677,,0.105504970584986,1.25105797813516,,0.180508641029395
purchasing,exp3,C,std,0.00901610072200532,,0.000909147828258339,0.0050117039190887,,0.000723112661033406
purchasing,exp3,C,ci95_norm_low,1.14876961947334,,0.104941474923036,1.24795169186399,,0.180060451158696
purchasing,exp3,C,ci95_norm_high,1.15994609372019,,0.106068466246936,1.25416426440634,,0.180956830900094
purchasing,exp3,C,ci95_t_low,1.1479081266802,,0.104854605407477,1.24747282112588,,0.179991357393517
purchasing,exp3,C,ci95_t_high,1.16080758651334,,0.106155335762495,1.25464313514445,,0.181025924665273
purchasing,exp4,A,0,1.18250607253389,2021,0.10768799174655,1.27779366466353,122,0.184366194017799
purchasing,exp4,A,1,1.16716014556388,2152,0.105420594619116,1.2708511539179,122,0.183364495294057
purchasing,exp4,A,2,1.19962908128195,1793,0.1109929078115,1.28014131480824,122,0.184704924232259
purchasing,exp4,A,3,1.19131838713309,1955,0.108965839227534,1.28091364748186,122,0.184816360091967
purchasing,exp4,A,4,1.18400064196738,2091,0.107343887005667,1.28057770191865,122,0.184767888256021
purchasing,exp4,A,5,1.19588825932262,2055,0.1086684835734,1.28282282246808,122,0.185091825009079
purchasing,exp4,A,6,1.17036592051077,1951,0.107078328267461,1.27397718856344,122,0.183815534554858
purchasing,exp4,A,7,1.17807299531961,1799,0.108949896598968,1.27101645496834,122,0.183388345721854
purchasing,exp4,A,8,1.17895332918833,2029,0.107308753993917,1.27783041104559,122,0.184371495961918
purchasing,exp4,A,9,1.1786099877101,2037,0.107222097727204,1.27433604571875,122,0.183867312185121
purchasing,exp4,A,mean,1.18265048205316,,0.107963878057132,1.27702604055544,,0.184255437532493
purchasing,exp4,A,std,0.0104472050417722,,0.00150333206839005,0.00425633610735064,,0.000614124572905445
